Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road",Dubai,391073,"04-3868444,800MIYABI",N/A,https://www.yellowpages-uae.com/companywebsite.aspx?type=restaurant&q=www.miyabisushidubai.com?utm_source=Yellowpages-UAE.com%26utm_medium=YPUAEClicks%26utm_campaign=YPUAEWebAd,/images/placeholder.png
101 Parathas,"Near Grand Hotel, Abu Shagara",Sharjah,N/A,06-5538106,N/A,N/A,/images/placeholder.png
18 Buffet,Al Garhoud,Dubai,N/A,04-2999115,N/A,N/A,/images/placeholder.png
18 Degree,"Hyatt Capital Gate, Al Arabi Street",Abu Dhabi,N/A,02-5961440,N/A,N/A,/images/placeholder.png
24h.ae Online Food Delivery Services,Al Barsha,Dubai,357347,04-4572307,N/A,N/A,/images/placeholder.png
4 Guys,N/A,Dubai,N/A,04-4357377,N/A,N/A,/images/placeholder.png
55 & 5th Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-4988008,N/A,N/A,/images/placeholder.png
77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT",Dubai,644817,04-4224116,N/A,N/A,/images/placeholder.png
800 Pizza,N/A,Dubai,N/A,80074992,N/A,N/A,/images/placeholder.png
Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai",Dubai,N/A,04-3599992,N/A,N/A,/images/placeholder.png
Abdul Aziz Restaurant,Sanaiya,Al Ain,16935,03-7211335,N/A,N/A,/images/placeholder.png
Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham",Ras Al Khaimah,6744,07-2666693,N/A,N/A,/images/placeholder.png
Abdullas Food Court,"US Accommodation, JAFZA",Jebel Ali,18009,04-8833115,N/A,N/A,/images/placeholder.png
Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai",Dubai,N/A,04-3557715,N/A,N/A,/images/placeholder.png
Abshar Iranian Restaurant,Jumeirah,Dubai,56484,04-3940950,N/A,N/A,/images/placeholder.png
Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira",Dubai,63788,04-2230555,N/A,N/A,/images/placeholder.png
Abu Fadi Restaurant,Jamal Abdel Naser St,Sharjah,82122,06-5535702,N/A,N/A,/images/placeholder.png
Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah",Abu Dhabi,37471,02-5575757,N/A,N/A,/images/placeholder.png
Abu Khalid Restaurant,"Sona Bazaar, Park Rd",Fujairah,456,09-2224592,N/A,N/A,/images/placeholder.png
Abu Nasar Restaurant,TCA,Abu Dhabi,N/A,02-6452229,N/A,N/A,/images/placeholder.png
Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road",Dubai,391073,"04-3868444,800MIYABI",N/A,https://www.yellowpages-uae.com/companywebsite.aspx?type=restaurant&q=www.miyabisushidubai.com?utm_source=Yellowpages-UAE.com%26utm_medium=YPUAEClicks%26utm_campaign=YPUAEWebAd,/images/placeholder.png
101 Parathas,"Near Grand Hotel, Abu Shagara",Sharjah,N/A,06-5538106,N/A,N/A,/images/placeholder.png
18 Buffet,Al Garhoud,Dubai,N/A,04-2999115,N/A,N/A,/images/placeholder.png
18 Degree,"Hyatt Capital Gate, Al Arabi Street",Abu Dhabi,N/A,02-5961440,N/A,N/A,/images/placeholder.png
24h.ae Online Food Delivery Services,Al Barsha,Dubai,357347,04-4572307,N/A,N/A,/images/placeholder.png
4 Guys,N/A,Dubai,N/A,04-4357377,N/A,N/A,/images/placeholder.png
55 & 5th Restaurant,Saadiyat Island,Abu Dhabi,N/A,02-4988008,N/A,N/A,/images/placeholder.png
77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT",Dubai,644817,04-4224116,N/A,N/A,/images/placeholder.png
800 Pizza,N/A,Dubai,N/A,80074992,N/A,N/A,/images/placeholder.png
Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai",Dubai,N/A,04-3599992,N/A,N/A,/images/placeholder.png
Abdul Aziz Restaurant,Sanaiya,Al Ain,16935,03-7211335,N/A,N/A,/images/placeholder.png
Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham",Ras Al Khaimah,6744,07-2666693,N/A,N/A,/images/placeholder.png
Abdullas Food Court,"US Accommodation, JAFZA",Jebel Ali,18009,04-8833115,N/A,N/A,/images/placeholder.png
Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai",Dubai,N/A,04-3557715,N/A,N/A,/images/placeholder.png
Abshar Iranian Restaurant,Jumeirah,Dubai,56484,04-3940950,N/A,N/A,/images/placeholder.png
Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira",Dubai,63788,04-2230555,N/A,N/A,/images/placeholder.png
Abu Fadi Restaurant,Jamal Abdel Naser St,Sharjah,82122,06-5535702,N/A,N/A,/images/placeholder.png
Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah",Abu Dhabi,37471,02-5575757,N/A,N/A,/images/placeholder.png
Abu Khalid Restaurant,"Sona Bazaar, Park Rd",Fujairah,456,09-2224592,N/A,N/A,/images/placeholder.png
Abu Nasar Restaurant,TCA,Abu Dhabi,N/A,02-6452229,N/A,N/A,/images/placeholder.png
Abu Shakra Restaurant,Istiqlal St,Abu Dhabi,8090,02-6313400,N/A,N/A,/images/placeholder.png
Accuro Specialist Support Services,Dubai Investment Park - 2,Dubai,283923,04-8071900,N/A,N/A,/images/placeholder.png
Afamia Al Shaam,Khalifa,Abu Dhabi,N/A,02-5526630,N/A,N/A,/images/placeholder.png
Afdal Restaurant and Grill,Muroor Rd,Abu Dhabi,55204,02-4493916,N/A,N/A,/images/placeholder.png
Afghan Darbar Restaurant LLC,"Near Mubarak Centre, Al Nabbah Area",Sharjah,40179,06-5638761,N/A,N/A,/images/placeholder.png
Agemono Restaurant,"Al Khail Mall, Al Quoz Indl Area",Dubai,124145,04-3397925,N/A,N/A,/images/placeholder.png
Ahl Almandi Restaurant,"Near NMC Hospital, Amman Rd, Al Nahda 2",Dubai,N/A,04-2574448,N/A,N/A,/images/placeholder.png
Ahmed Al Arab Restaurant,Muroor Rd,Abu Dhabi,70112,02-4431848,N/A,N/A,/images/placeholder.png
Airlines Restaurant,Hamdan St,Abu Dhabi,4862,02-6335214,N/A,N/A,/images/placeholder.png
Ajman Spring Restaurant & Grills,Opp Ajman Traffic Police Dept,Ajman,2,06-7462277,N/A,N/A,/images/placeholder.png
Akher Saa Restaurant,Jamal Abdul Nasir Street,Sharjah,N/A,06-5501999,N/A,N/A,/images/placeholder.png
Al Abraj Restaurant,"Bhnd Joy Alukkas, Rolla",Sharjah,2907,06-5615335,N/A,N/A,/images/placeholder.png
Al Afghani Al Khas Lil Kabab Restaurant LLC,"Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara",Sharjah,N/A,06-5506674,N/A,N/A,/images/placeholder.png
Al Afrah Al Thahabya Restaurant LLC,"Near Mega Mall, Abu Shagara",Sharjah,N/A,06-5512323,N/A,N/A,/images/placeholder.png
Al Ain Restaurant,"Next KFC, Airport Rd",Abu Dhabi,25361,02-6422507,N/A,N/A,/images/placeholder.png
Al Akhwan Restaurant,N/A,Dubai,N/A,04-2621704,N/A,N/A,/images/placeholder.png
Al Akl Al Har Restaurant LLC,"Shop 2 & 3, Al Qassimiya",Sharjah,30459,06-5507939,N/A,N/A,/images/placeholder.png
Al Amoor Restaurant,Al Quoz Indl Area,Dubai,N/A,04-3470787,N/A,N/A,/images/placeholder.png
Al Anood Restaurant,"Near Asmara S/Market, Al Mamoorah",Ras Al Khaimah,12242,07-2236516,N/A,N/A,/images/placeholder.png
Al Arrab Restaurant,Dubai Silicon Oasis Authority,Dubai,19492,04-3264949,N/A,N/A,/images/placeholder.png
Al Aumdah Restaurant,"Al Mamzar Building, Abu Hail",Dubai,N/A,04-2667749,N/A,N/A,/images/placeholder.png
Al Ayoubia Restaurant,Al Nasr St,Abu Dhabi,71955,02-6215242,N/A,N/A,/images/placeholder.png
Al Badawi Restaurant,Jamal Abdul Nasir Street,Sharjah,N/A,06-5444066,N/A,N/A,/images/placeholder.png
Al Bait Al Malaky Mandi Restaurant,"Opp Safeer Mall, Ittihad Road",Sharjah,N/A,06-5256663,N/A,N/A,/images/placeholder.png
Al Banadir Family Restaurant LLC,"Near Manama Center, Fire Stn R/A",Sharjah,N/A,06-5628928,N/A,N/A,/images/placeholder.png
Al Barakah Restaurant,"Near Natl S/Market, Rams Rd",Ras Al Khaimah,4612,07-2238349,N/A,N/A,/images/placeholder.png
Al Bawadir Restaurant,N/A,Sharjah,70803,06-5515957,N/A,N/A,/images/placeholder.png
Al Bayan Purification and Potable Water LLC,Mussafah Indl Area,Abu Dhabi,51845,02-5510370,N/A,N/A,/images/placeholder.png
Al Bustan Hotel,"Near Immigration Office, Al Kuwait Rd",Sharjah,6006,06-5731555,N/A,N/A,/images/placeholder.png
Al Bustan Restaurant,Al Etihad Rd,Umm Al Quwain,505,06-7670077,N/A,N/A,/images/placeholder.png
Al Daba Restaurant,"Near Moonlight S/Market, Julphar Rd, Julan",Ras Al Khaimah,4803,07-2238610,N/A,N/A,/images/placeholder.png
Al Dahleez Restaurant,Garhoud,Dubai,37137,04-2823922,N/A,N/A,/images/placeholder.png
Al Diar Siji Hotel,"Next to Fujairah Trade Centre, Beside Etisalat Bldg",Fujairah,1199,09-2232000,N/A,N/A,/images/placeholder.png
Al Fakher Mandi & Traditional Restaurant,"Behind Labour Ministry, Hor Al Anz",Dubai,N/A,04-2664660,N/A,N/A,/images/placeholder.png
Al Falah Cafeteria,Abu Shagara,Sharjah,N/A,06-5482275,N/A,N/A,/images/placeholder.png
Al Falah Restaurant and Cafeteria,Al Salam Road,Fujairah,N/A,09-2235151,N/A,N/A,/images/placeholder.png
Al Falak Restaurant,"Baladiya Building, Near Wadi 28, Al Maqam",Al Ain,3232,03-7681200,N/A,N/A,/images/placeholder.png
Al Falasi Restaurant & Cafeteria,Al Ghusais,Dubai,18977,04-2673141,N/A,N/A,/images/placeholder.png
Al Fanar Restaurant,"Near Ritz Carlton, Vietnam Village",Abu Dhabi,N/A,02-4481144,N/A,N/A,/images/placeholder.png
Al Farah Pastry & Grills,"Behind Crown Plaza, Hamdan Street",Abu Dhabi,N/A,02-6333777,N/A,N/A,/images/placeholder.png
Al Fareej Restaurant,"Near Etisalat Office, Hamdan Street",Abu Dhabi,N/A,02-6393335,N/A,N/A,/images/placeholder.png
Al Faris Restaurant,"Opp Old Fire Brigade, Al Muntazar Rd",Ras Al Khaimah,10308,07-2285682,N/A,N/A,/images/placeholder.png
Al Fujairah Restaurant,Electra Rd,Abu Dhabi,36874,02-6782973,N/A,N/A,/images/placeholder.png
